0,1,2,3,L0,L1,L2,L3
0.241217012,0.787241939,0.133865638,0.961815912,0,0,0,0
0.344594087,0.006907038,0.286095669,0.623007503,0,0,0,0
0.830226867,0.10480964,0.743996589,0.011381958,1,0,0,0
0.982118677,0.264405456,0.265907443,0.95526129,1,0,0,0
0.297771954,0.449260805,0.300904502,0.09092892,0,0,0,0
0.434550292,0.922368938,0.531829931,0.072108805,0,0,0,0
0.11071697,0.52010132,0.931197906,0.709906796,0,0,0,0
0.017422782,0.522849754,0.24804988,0.232133197,0,0,0,0
0.76247757,0.735173611,0.153365567,0.180503879,1,0,0,0
0.84252885,0.741279398,0.075423481,0.5037173,1,0,0,0
0.894158661,0.061428924,0.966564781,0.063554416,1,0,0,0
0.27083911,0.530260268,0.655229194,0.462558896,0,0,0,0
0.853084053,0.760673516,0.04022285,0.361368566,1,0,0,0
0.800183304,0.354699021,0.214490143,0.991356856,1,0,0,0
0.012382248,0.331049492,0.39174047,0.764305617,0,0,0,0
0.544097645,0.572818259,0.048613456,0.143899805,1,0,0,0
0.101555302,0.817778085,0.254446443,0.320756552,0,0,0,0
0.09753776,0.957709605,0.746416314,0.32250789,0,0,0,0
0.107616097,0.134840227,0.728325915,0.664205802,0,0,0,0
0.886795476,0.092302947,0.762936289,0.096371115,1,0,0,0
0.93867996,0.603810958,0.849449827,0.01771058,1,0,0,0
0.028680781,0.753067712,0.300435966,0.704890538,0,0,0,0
0.04364292,0.124246944,0.579783383,0.643305286,0,0,0,0
0.030790533,0.962079495,0.776361145,0.047460517,0,0,0,0
0.964219259,0.311838934,0.346921951,0.29046469,1,0,0,0
0.540996448,0.97892117,0.219964606,0.398159057,1,0,0,0
0.88304947,0.591442993,0.746301009,0.899300613,1,0,0,0
0.553153,0.292031623,0.765086055,0.188024208,1,0,0,0
0.619867395,0.306936127,0.30193136,0.296121287,1,0,0,0
0.677822691,0.689383146,0.84315099,0.04035969,1,0,0,0
