0,1,2,3,L0,L1,L2,L3
0.211645723,0.884164816,0.74004031,0.349172388,0,1,1,0
0.717179067,0.76451652,0.832683864,0.496495112,1,1,1,1
0.762154492,0.112413195,0.502599573,0.516184004,1,0,1,1
0.242667862,0.504816875,0.741386123,0.585313749,0,1,1,1
0.438623436,0.683134794,0.940257318,0.724907574,0,1,1,1
0.95849684,0.039711222,0.034295883,0.042389722,1,0,0,0
0.743594426,0.139074842,0.136529735,0.064181655,1,0,0,0
0.496674915,0.811754197,0.605911858,0.89057225,0,1,1,1
0.464073808,0.952166957,0.882145491,0.262708312,0,1,1,0
0.742108768,0.529189545,0.848775138,0.706192894,1,1,1,1
0.309034424,0.988592421,0.372804086,0.21218951,0,1,1,0
0.251198752,0.046663425,0.826968,0.672658838,0,0,1,1
0.51538686,0.056021175,0.447061185,0.023255334,0,0,1,0
0.347965357,0.351573159,0.550519055,0.006925442,0,0,1,0
0.996691896,0.254339931,0.719725543,0.636238106,1,0,1,1
0.98638091,0.531694966,0.356089557,0.317337673,1,1,1,0
0.548749407,0.128694612,0.796660222,0.074293168,0,0,1,0
0.940906277,0.471608973,0.367440523,0.344394037,1,0,1,0
0.891239974,0.616015946,0.124445705,0.45211975,1,1,0,0
0.321228734,0.046611387,0.779094246,0.455100777,0,0,1,1
0.857555629,0.638560267,0.569959142,0.894685749,1,1,1,1
0.44763536,0.430055899,0.764668994,0.745200924,0,0,1,1
0.53573032,0.009425393,0.744884881,0.649433657,0,0,1,1
0.05554077,0.313702838,0.121726481,0.231706474,0,0,0,0
0.094558529,0.265061393,0.910518291,0.558424374,0,0,1,1
0.770892413,0.116418411,0.94451562,0.075402904,1,0,1,0
0.327086551,0.817489377,0.296940989,0.907474724,0,1,0,1
0.6609389,0.213645531,0.389775783,0.381326594,1,0,1,0
0.729423296,0.66375733,0.294833536,0.006523904,1,1,0,0
0.41298949,0.02129286,0.879900521,0.927107903,0,0,1,1
0.225803583,0.176461507,0.347532421,0.419742102,0,0,1,0
0.354729082,0.273677515,0.847599085,0.336146137,0,0,1,0
0.572696819,0.433091068,0.415648453,0.226863366,1,0,1,0
0.098471736,0.746657717,0.411352947,0.418446907,0,1,1,0
0.183209463,0.523809507,0.884781945,0.60981948,0,1,1,1
0.743705004,0.9556275,0.021878212,0.487177009,1,1,0,1
0.205622909,0.352755947,0.596215568,0.204249175,0,0,1,0
0.224668767,0.703842024,0.88009586,0.336289264,0,1,1,0
0.208271841,0.690351596,0.55864372,0.65994494,0,1,1,1
0.579423016,0.064057278,0.852191986,0.920574939,1,0,1,1
0.494797428,0.32661845,0.945926601,0.599543988,0,0,1,1
0.525478908,0.307794982,0.781815334,0.956591706,0,0,1,1
0.795606516,0.516607858,0.134930253,0.966732952,1,1,0,1
0.787636565,0.013277221,0.087093224,0.163799085,1,0,0,0
0.445861606,0.342084699,0.737093258,0.24721984,0,0,1,0
0.829705674,0.332688706,0.086006251,0.410900085,1,0,0,0
0.702425758,0.279733848,0.000451704,0.966264054,1,0,0,1
0.015083673,0.583557505,0.508195951,0.82434856,0,1,1,1
0.443672302,0.455205995,0.347657745,0.04088606,0,0,1,0
0.921735057,0.588927315,0.105487519,0.545248451,1,1,0,1
0.967169261,0.306799915,0.819355896,0.269616941,1,0,1,0
0.018514513,0.770086293,0.700480692,0.970918079,0,1,1,1
0.447514229,0.983371394,0.35046752,0.892925502,0,1,1,1
0.228761334,0.423751017,0.945637378,0.023273718,0,0,1,0
0.938286052,0.494782286,0.416372245,0.378246651,1,0,1,0
0.528171282,0.261140819,0.368804677,0.364373165,0,0,1,0
0.361112585,0.589850116,0.535410116,0.152534508,0,1,1,0
0.250199966,0.448268339,0.365716863,0.570796788,0,0,1,1
0.358061675,0.11098958,0.877328685,0.340019008,0,0,1,0
0.841989215,0.300612049,0.411322799,0.343810409,1,0,1,0
0.696420142,0.900420539,0.736508943,0.630871551,1,1,1,1
0.365549456,0.234969277,0.718850438,0.730668064,0,0,1,1
0.328240583,0.402527408,0.657639651,0.889311802,0,0,1,1
0.138784587,0.973404809,0.37771387,0.293471942,0,1,1,0
0.36677834,0.220128632,0.847040012,0.168047112,0,0,1,0
0.673299193,0.278641472,0.213670873,0.420927068,1,0,0,0
0.754112277,0.341762079,0.995323211,0.888628806,1,0,1,1
0.885315896,0.686393742,0.374551318,0.469587003,1,1,1,1
0.422482341,0.825364854,0.583715277,0.887711333,0,1,1,1
0.353967462,0.219824615,0.299243505,0.906978432,0,0,0,1
0.936052767,0.351904049,0.505766219,0.872419322,1,0,1,1
0.915596184,0.24951643,0.033422866,0.841588639,1,0,0,1
0.501948222,0.517719028,0.771050417,0.094436383,0,1,1,0
0.294703897,0.373788773,0.638836954,0.400231105,0,0,1,0
0.094933853,0.421835637,0.581992042,0.576422233,0,0,1,1
0.04356832,0.673783397,0.327717945,0.309641402,0,1,0,0
0.702096402,0.937572661,0.956581338,0.717115631,1,1,1,1
0.275584396,0.012472166,0.377993077,0.330409098,0,0,1,0
0.535717226,0.870504901,0.160181763,0.492859413,0,1,0,1
0.743831578,0.821883545,0.732447106,0.471886165,1,1,1,1
0.373415961,0.812855269,0.941754751,0.128672921,0,1,1,0
0.883990558,0.942852935,0.880132113,0.566186982,1,1,1,1
0.345977779,0.165058659,0.793680498,0.582196331,0,0,1,1
0.291792168,0.966663666,0.570122674,0.344499424,0,1,1,0
