0,1,2,3,L0,L1,L2,L3
0.643188709,0.844193811,0.98713628,0.273105271,1,1,1,0
0.933067,0.136987125,0.188493541,0.799069057,1,0,0,1
0.014928004,0.033348619,0.687803674,0.621629348,0,0,1,1
0.333219187,0.803000408,0.701796451,0.720028263,0,1,1,1
0.484387613,0.739522932,0.996258813,0.688407816,1,1,1,1
0.790752861,0.675200777,0.909758245,0.425458004,1,1,1,1
0.561748539,0.095281747,0.508698988,0.897714783,1,0,1,1
0.55912891,0.81821778,0.523879574,0.265933899,1,1,1,0
0.948885206,0.491565418,0.313681176,0.89446438,1,1,0,1
0.190576687,0.57949614,0.924332046,0.086754784,0,1,1,0
0.29314103,0.920789667,0.495828984,0.06522732,0,1,1,0
0.644733002,0.324979036,0.786278984,0.149647273,1,0,1,0
0.576258155,0.092980655,0.563538398,0.392125348,1,0,1,1
0.802548253,0.32604265,0.887347492,0.337813673,1,0,1,0
0.786761637,0.769993591,0.329461502,0.45499717,1,1,0,1
0.061830745,0.87401953,0.293335442,0.280020496,0,1,0,0
0.078020312,0.383963919,0.840880877,0.673804161,0,0,1,1
0.212268045,0.561867193,0.385226753,0.641756533,0,1,1,1
0.43039561,0.054399275,0.971678906,0.045234041,0,0,1,0
0.23760958,0.122306915,0.526389805,0.318281046,0,0,1,0
0.01532089,0.782285841,0.958040891,0.139924584,0,1,1,0
0.189103233,0.097966351,0.059836125,0.784338421,0,0,0,1
0.347722245,0.450880513,0.975594452,0.011976617,0,1,1,0
0.816263058,0.142446812,0.827136761,0.008134638,1,0,1,0
0.80290655,0.044375378,0.870918356,0.623325568,1,0,1,1
0.043093082,0.414984244,0.400397738,0.294622984,0,1,1,0
0.405586725,0.520880323,0.60230169,0.42274162,0,1,1,1
0.362413147,0.819708845,0.200718463,0.849502837,0,1,0,1
0.093179064,0.600968084,0.860075347,0.724629374,0,1,1,1
0.674236568,0.486554474,0.242952897,0.294003732,1,1,0,0
0.489481345,0.023237048,0.979884363,0.023441498,1,0,1,0
0.183745934,0.855012954,0.76224224,0.395371379,0,1,1,1
0.781546885,0.829670143,0.141816519,0.375995477,1,1,0,0
0.617464959,0.893695073,0.157844924,0.795435323,1,1,0,1
0.902870912,0.631824216,0.913713136,0.625675003,1,1,1,1
0.92827484,0.505749263,0.085100469,0.033999486,1,1,0,0
0.171426609,0.902459439,0.415506414,0.005573552,0,1,1,0
0.29203173,0.730174251,0.801948586,0.622380566,0,1,1,1
0.42910495,0.757619582,0.519364021,0.431712758,0,1,1,1
0.555408381,0.343532502,0.952069917,0.069015094,1,0,1,0
0.883304634,0.083764134,0.037090289,0.129012069,1,0,0,0
