0,1,2,3,L0,L1,L2,L3
0.85308173,0.926171427,0.804172256,0.366229652,1,1,0,0
0.680359617,0.742960297,0.699495493,0.833346708,1,1,0,0
0.868827624,0.228918788,0.35819764,0.789163444,1,0,0,0
0.197657138,0.439627276,0.596953474,0.667218418,0,0,0,0
0.488632984,0.451902778,0.14270041,0.393741232,0,0,0,0
0.281833366,0.934034252,0.046349122,0.243371936,0,1,0,0
0.551571928,0.403335152,0.139387087,0.872724196,1,0,0,0
0.414215443,0.679972304,0.981296212,0.997378951,0,1,0,0
0.679042179,0.234238845,0.752935645,0.985193749,1,0,0,0
0.670087947,0.671353104,0.199065323,0.239717166,1,1,0,0
0.119838871,0.061872934,0.625251219,0.778386858,0,0,0,0
0.59053776,0.475303967,0.077024969,0.200059236,1,0,0,0
0.795407673,0.334521013,0.70541849,0.57463066,1,0,0,0
0.53446111,0.234259472,0.94525718,0.951390951,1,0,0,0
0.181588388,0.515163547,0.483981846,0.102897855,0,1,0,0
0.148973455,0.451801711,0.31207808,0.994327647,0,0,0,0
0.642183743,0.954654985,0.63107337,0.794911694,1,1,0,0
0.807709953,0.328188019,0.281396763,0.657468675,1,0,0,0
0.222974423,0.940659382,0.666846493,0.347139879,0,1,0,0
0.940012992,0.725336112,0.671657468,0.423095498,1,1,0,0
0.883855475,0.387027427,0.133957567,0.453669875,1,0,0,0
0.444338376,0.078405171,0.520755068,0.028541568,0,0,0,0
0.921788628,0.224690244,0.420248897,0.632690095,1,0,0,0
0.844847909,0.218128962,0.668259393,0.953468489,1,0,0,0
0.014822047,0.939851496,0.468051787,0.477312798,0,1,0,0
0.799445753,0.32358791,0.589526267,0.953498265,1,0,0,0
0.937155938,0.306321411,0.029553782,0.284467968,1,0,0,0
0.835717812,0.083936217,0.69144116,0.85586239,1,0,0,0
0.974928419,0.69887244,0.892613855,0.449115771,1,1,0,0
0.797953833,0.613805164,0.78913534,0.907783706,1,1,0,0
0.752983737,0.953430859,0.776449726,0.887578824,1,1,0,0
0.280476742,0.712385052,0.269453114,0.021944842,0,1,0,0
0.627262408,0.539562446,0.709996954,0.184107056,1,1,0,0
0.143636639,0.740955844,0.467086734,0.716967123,0,1,0,0
0.886523383,0.237081043,0.540328129,0.686020419,1,0,0,0
0.712386577,0.420781067,0.735146391,0.287918178,1,0,0,0
0.988744669,0.045443378,0.038852999,0.550067425,1,0,0,0
0.65265423,0.062154625,0.272235241,0.96419025,1,0,0,0
0.892092128,0.042909918,0.553808684,0.292164782,1,0,0,0
0.760816215,0.401356175,0.287130076,0.809187902,1,0,0,0
0.191180837,0.441005893,0.385334848,0.981156898,0,0,0,0
0.877246893,0.812033474,0.739334337,0.813531137,1,1,0,0
0.909278575,0.780706575,0.592780161,0.319906804,1,1,0,0
0.948353845,0.68479523,0.465193474,0.717346333,1,1,0,0
0.106750144,0.318579931,0.748371906,0.306675187,0,0,0,0
0.790818275,0.817778989,0.907581075,0.765043249,1,1,0,0
0.668078369,0.491094662,0.434421895,0.278725853,1,0,0,0
0.523304276,0.049984334,0.482210694,0.990686032,1,0,0,0
0.730338279,0.612881209,0.612751977,0.980985733,1,1,0,0
0.230163663,0.695721675,0.436793561,0.222395964,0,1,0,0
0.052998065,0.71391645,0.984492969,0.278769514,0,1,0,0
0.031555622,0.780688503,0.853581305,0.549691213,0,1,0,0
0.841942053,0.377170151,0.386268615,0.074217115,1,0,0,0
0.281709503,0.585581631,0.212064541,0.413043335,0,1,0,0
0.660631131,0.976481608,0.516591645,0.119464946,1,1,0,0
0.142663926,0.480403494,0.893717847,0.651820729,0,0,0,0
0.596005043,0.986198824,0.834953126,0.311374955,1,1,0,0
0.551633254,0.779805094,0.896099074,0.343781434,1,1,0,0
0.850765104,0.422330655,0.192594708,0.010534487,1,0,0,0
0.409371763,0.002975728,0.296344522,0.50538297,0,0,0,0
0.066871542,0.685170372,0.740424273,0.520457364,0,1,0,0
0.063298408,0.551389762,0.814121011,0.992257895,0,1,0,0
0.297626697,0.398271025,0.251217099,0.69085603,0,0,0,0
0.479790326,0.978504209,0.562855749,0.255529559,0,1,0,0
0.107758576,0.657881206,0.22106635,0.605533373,0,1,0,0
0.918078486,0.404520454,0.095683548,0.463982249,1,0,0,0
0.627483069,0.670014238,0.952645325,0.901231979,1,1,0,0
0.766149532,0.720169159,0.085833518,0.492602573,1,1,0,0
0.005718073,0.957500102,0.06825346,0.567993448,0,1,0,0
0.750881838,0.216882795,0.517644556,0.313248676,1,0,0,0
0.042635568,0.595626304,0.793642882,0.922976147,0,1,0,0
0.197137224,0.729622386,0.487534253,0.21492643,0,1,0,0
0.14126714,0.135884735,0.994693161,0.604631308,0,0,0,0
0.54838622,0.016456546,0.29697876,0.108390285,1,0,0,0
0.466666811,0.016959917,0.233193554,0.197998598,0,0,0,0
0.675982259,0.768367427,0.579947383,0.905860843,1,1,0,0
0.531981964,0.748467093,0.088260795,0.379990329,1,1,0,0
0.766917861,0.131845907,0.611789276,0.933178812,1,0,0,0
0.034410053,0.102192472,0.47941899,0.023355196,0,0,0,0
0.651894341,0.03235832,0.915381728,0.362245502,1,0,0,0
0.042343073,0.82212538,0.164062879,0.325016132,0,1,0,0
0.377158946,0.498288629,0.760218191,0.979617551,0,0,0,0
0.138101641,0.741492604,0.217782064,0.446768526,0,1,0,0
0.756252857,0.851756818,0.720760113,0.992535313,1,1,0,0
0.862579442,0.50157798,0.265493231,0.1840811,1,1,0,0
0.935008263,0.494201333,0.912797491,0.45571216,1,0,0,0
0.635638568,0.467911743,0.151671553,0.800646356,1,0,0,0
0.287936844,0.293753702,0.36745822,0.519295813,0,0,0,0
0.301144194,0.101023187,0.865717127,0.703970365,0,0,0,0
0.248695012,0.660002858,0.384408778,0.330674652,0,1,0,0
0.162241963,0.655652641,0.48544069,0.151460607,0,1,0,0
0.175903545,0.11192112,0.568234328,0.483555972,0,0,0,0
0.145054952,0.189162183,0.338984401,0.776922383,0,0,0,0
0.347987385,0.145675485,0.006606261,0.44739405,0,0,0,0
0.457180711,0.648273733,0.505243329,0.719659686,0,1,0,0
0.688035343,0.618081103,0.993801375,0.435644789,1,1,0,0
0.218865037,0.018045036,0.781583867,0.540520942,0,0,0,0
0.326307776,0.651830833,0.371617371,0.143095675,0,1,0,0
0.721620372,0.538256244,0.023681406,0.191137669,1,1,0,0
0.909453504,0.93140513,0.375945211,0.672231286,1,1,0,0
0.735832411,0.65089076,0.099835158,0.56362437,1,1,0,0
0.589102932,0.883415918,0.786934511,0.148649458,1,1,0,0
0.392659714,0.387610044,0.643209754,0.837325906,0,0,0,0
0.433466763,0.041564545,0.876458039,0.764712032,0,0,0,0
0.622731247,0.50460108,0.962148973,0.752717201,1,1,0,0
0.163115854,0.885428659,0.995499003,0.466660964,0,1,0,0
0.730875502,0.185176946,0.696917586,0.883051798,1,0,0,0
0.395879897,0.260213613,0.122232802,0.980960563,0,0,0,0
0.502127853,0.193655707,0.234854149,0.786509199,1,0,0,0
0.371407287,0.695766298,0.174329476,0.140657675,0,1,0,0
0.900677296,0.805761155,0.308942873,0.241388466,1,1,0,0
0.081308065,0.985390652,0.137308006,0.335076908,0,1,0,0
0.572917583,0.136230587,0.837289517,0.748635493,1,0,0,0
0.757866469,0.323015008,0.254532655,0.210936966,1,0,0,0
0.667584983,0.762844808,0.09560074,0.756723977,1,1,0,0
0.101143747,0.478545505,0.504407123,0.761744234,0,0,0,0
0.290120624,0.999929014,0.8195256,0.121482623,0,1,0,0
0.146369484,0.760231532,0.98228604,0.499444535,0,1,0,0
0.636814527,0.996855542,0.146525237,0.973483233,1,1,0,0
0.426396072,0.482308543,0.171682511,0.810360881,0,0,0,0
0.161570395,0.457820171,0.234653609,0.900201807,0,0,0,0
0.914570105,0.51175354,0.916487016,0.309616126,1,1,0,0
0.984104291,0.319387863,0.541171612,0.945806947,1,0,0,0
0.858143955,0.53275558,0.670299967,0.757223057,1,1,0,0
0.665057891,0.277271536,0.720691411,0.93542055,1,0,0,0
0.544960952,0.943028481,0.782122242,0.635218347,1,1,0,0
0.494261457,0.416495065,0.844724118,0.074333067,0,0,0,0
0.913235882,0.203205048,0.292599853,0.668664832,1,0,0,0
0.513484705,0.15758823,0.35711063,0.672879259,1,0,0,0
0.811704999,0.007557564,0.00701132,0.084321336,1,0,0,0
0.263609563,0.440810125,0.139248891,0.299701706,0,0,0,0
0.520679908,0.158046397,0.644619764,0.029055643,1,0,0,0
0.102347812,0.380727538,0.783463892,0.064046047,0,0,0,0
0.724482508,0.145687457,0.942603659,0.339190298,1,0,0,0
0.697381,0.873172492,0.280774168,0.880860022,1,1,0,0
0.558475747,0.792333588,0.285169398,0.886695847,1,1,0,0
0.1759559,0.404002916,0.835524005,0.476027001,0,0,0,0
0.798372279,0.326183925,0.307237063,0.936566228,1,0,0,0
0.913439329,0.447777424,0.966254951,0.882253099,1,0,0,0
0.165407649,0.589536156,0.132721694,0.943979254,0,1,0,0
0.824836117,0.687920601,0.371684923,0.286379034,1,1,0,0
0.407342079,0.145726203,0.152034995,0.030800425,0,0,0,0
0.745012162,0.660301327,0.26920062,0.290795455,1,1,0,0
0.381256393,0.368705065,0.367813547,0.925083953,0,0,0,0
0.942044667,0.534654453,0.79742263,0.896062436,1,1,0,0
0.723890528,0.780250015,0.655265804,0.447049372,1,1,0,0
0.579361441,0.044005402,0.147954273,0.722515073,1,0,0,0
0.839073986,0.166780106,0.35354087,0.985070437,1,0,0,0
0.297094469,0.462568322,0.029151374,0.279642964,0,0,0,0
0.566220984,0.36138862,0.806356476,0.531255184,1,0,0,0
0.339293936,0.595672608,0.250644407,0.062981041,0,1,0,0
0.667362173,0.923219012,0.730637383,0.627995095,1,1,0,0
0.756628562,0.377118588,0.985376359,0.413890791,1,0,0,0
0.921858268,0.829261153,0.750345459,0.070208175,1,1,0,0
0.609001959,0.765946262,0.021916375,0.163533452,1,1,0,0
0.857678896,0.165223241,0.879459352,0.770539581,1,0,0,0
0.717921452,0.186811973,0.802271557,0.875056243,1,0,0,0
0.800225859,0.563159522,0.305158929,0.591505747,1,1,0,0
0.997910165,0.093597744,0.597928627,0.053077115,1,0,0,0
0.27661006,0.759677844,0.989545989,0.864596549,0,1,0,0
0.230524232,0.612946534,0.282441578,0.455965433,0,1,0,0
0.644218168,0.580553177,0.431354732,0.580970704,1,1,0,0
0.048032015,0.680057631,0.080824723,0.152254923,0,1,0,0
0.532731706,0.425584887,0.095878583,0.292700137,1,0,0,0
0.253788358,0.733530546,0.031952054,0.074501142,0,1,0,0
0.526701644,0.69424392,0.878652879,0.196477363,1,1,0,0
0.480089869,0.498337816,0.492247604,0.218818235,0,0,0,0
0.01114048,0.838988916,0.594110008,0.540652301,0,1,0,0
0.52589893,0.946733478,0.886845646,0.603274725,1,1,0,0
