0,1,2,3,L0,L1,L2,L3
0.355468144,0.580448662,0.168258625,0.86380325,0,1,0,1
0.049390904,0.190167875,0.270072136,0.633557969,0,0,0,1
0.092012426,0.058961758,0.475749929,0.366140248,0,0,1,0
0.112516573,0.351387723,0.548100303,0.473514733,0,0,1,1
0.538575374,0.573217414,0.966787123,0.177434865,1,1,1,0
0.12283899,0.787655776,0.881242473,0.443211846,0,1,1,1
0.746530295,0.138599485,0.540274684,0.89839891,1,0,1,1
0.268521846,0.333120752,0.658440345,0.535373709,0,0,1,1
0.170465541,0.75983975,0.818984368,0.804771646,0,1,1,1
0.796034081,0.904908487,0.352721729,0.439356163,1,1,0,1
0.589787292,0.033137166,0.316081538,0.497096138,1,0,0,1
0.573545903,0.912635077,0.756015929,0.183536388,1,1,1,0
0.976412953,0.200610466,0.93435061,0.895216718,1,0,1,1
0.571714412,0.038701669,0.398847388,0.405731396,1,0,1,1
0.92827484,0.505749263,0.085100469,0.033999486,1,1,0,0
0.011853034,0.878977716,0.910937116,0.853434573,0,1,1,1
0.795409141,0.412118522,0.454176093,0.015667326,1,1,1,0
0.140622834,0.359651996,0.337013337,0.652402025,0,0,0,1
0.791266896,0.557560729,0.889885836,0.32887682,1,1,1,0
0.649548483,0.272962319,0.691891999,0.386998961,1,0,1,1
0.398813368,0.158777939,0.339455577,0.25625823,0,0,0,0
0.823826416,0.582478007,0.663442136,0.242220247,1,1,1,0
0.06492765,0.128067468,0.117705845,0.316213242,0,0,0,0
0.436992474,0.277275912,0.751517647,0.860955132,0,0,1,1
0.759296542,0.217807414,0.579122943,0.450660306,1,0,1,1
0.517690289,0.698032658,0.961795569,0.793635153,1,1,1,1
0.273516447,0.082677203,0.480610504,0.820041123,0,0,1,1
0.955634514,0.905679402,0.928330895,0.845493251,1,1,1,1
0.985101601,0.501976522,0.562264319,0.409604861,1,1,1,1
0.643535562,0.489978033,0.695541995,0.46854437,1,1,1,1
0.218094056,0.373671101,0.231160801,0.756070564,0,0,0,1
0.534274169,0.126036893,0.030512236,0.108272376,1,0,0,0
0.862640318,0.330571541,0.682154432,0.587194795,1,0,1,1
0.978166696,0.160092503,0.935885416,0.76139526,1,0,1,1
0.069913876,0.222635682,0.666580897,0.60919443,0,0,1,1
0.436461276,0.741961601,0.341757411,0.340405897,0,1,0,0
0.65302861,0.04383048,0.844456332,0.845787795,1,0,1,1
0.476591549,0.27696855,0.829953343,0.144642923,1,0,1,0
0.327307558,0.589880285,0.468471453,0.308152282,0,1,1,0
0.388944943,0.836694409,0.605077786,0.931268519,0,1,1,1
0.061830745,0.87401953,0.293335442,0.280020496,0,1,0,0
0.931000477,0.090121929,0.964553396,0.747216889,1,0,1,1
0.398928282,0.657591654,0.14340088,0.703474084,0,1,0,1
0.805181553,0.615171889,0.262989343,0.777518915,1,1,0,1
0.748483678,0.768881051,0.903767014,0.128162537,1,1,1,0
0.971863026,0.911568802,0.117074913,0.418876972,1,1,0,1
0.328491999,0.797861417,0.787353099,0.943863979,0,1,1,1
0.05617941,0.652233363,0.675809787,0.117104284,0,1,1,0
0.028309896,0.050677371,0.531880176,0.603110234,0,0,1,1
0.091098222,0.996160903,0.27966028,0.424193622,0,1,0,1
0.310684928,0.101631124,0.444038932,0.799587012,0,0,1,1
0.196098921,0.691091667,0.794951405,0.277535513,0,1,1,0
0.821473412,0.274526244,0.6724391,0.039235097,1,0,1,0
0.07313623,0.583576832,0.387224176,0.609296344,0,1,1,1
0.850229046,0.458404218,0.103921499,0.037245525,1,1,0,0
0.98869675,0.783212987,0.2055685,0.416570472,1,1,0,1
0.095916443,0.347931082,0.63594284,0.98074168,0,0,1,1
0.913124569,0.332022198,0.837837731,0.517134324,1,0,1,1
0.29314103,0.920789667,0.495828984,0.06522732,0,1,1,0
0.515937361,0.936142566,0.16102308,0.806112459,1,1,0,1
0.837040542,0.644145594,0.710014179,0.745478145,1,1,1,1
0.465152694,0.325337369,0.446318761,0.931989322,1,0,1,1
0.387167087,0.003219149,0.72571289,0.109929858,0,0,1,0
0.162252366,0.693786062,0.202939761,0.863306228,0,1,0,1
0.264274781,0.963908028,0.448877542,0.45591433,0,1,1,1
0.000970778,0.28791875,0.352145751,0.989132389,0,0,0,1
0.016027817,0.574612621,0.903367053,0.751482899,0,1,1,1
0.505679716,0.247587454,0.541015813,0.603182266,1,0,1,1
0.23760958,0.122306915,0.526389805,0.318281046,0,0,1,0
0.854321099,0.719838427,0.222546409,0.66862454,1,1,0,1
0.961866722,0.532817419,0.652550213,0.207848416,1,1,1,0
0.102719347,0.753857869,0.914008151,0.379711666,0,1,1,0
0.472999123,0.313313559,0.41509181,0.45017496,1,0,1,1
0.780706083,0.29052779,0.628417978,0.805936578,1,0,1,1
0.519410601,0.26350721,0.966690227,0.656070198,1,0,1,1
0.075981395,0.536374825,0.313353433,0.283803212,0,1,0,0
0.484387613,0.739522932,0.996258813,0.688407816,1,1,1,1
0.203279613,0.753560868,0.902587302,0.340747587,0,1,1,0
0.2726258,0.087970497,0.034145031,0.437812161,0,0,0,1
0.125234768,0.344406078,0.643817548,0.406484681,0,0,1,1
0.41621111,0.956911665,0.170100372,0.528017594,0,1,0,1
0.500965672,0.370453672,0.840401846,0.913343442,1,0,1,1
0.29203173,0.730174251,0.801948586,0.622380566,0,1,1,1
0.858285812,0.318655988,0.768043514,0.899235527,1,0,1,1
0.417737328,0.869960379,0.921658349,0.981479807,0,1,1,1
0.797771013,0.177820149,0.339415957,0.974090546,1,0,0,1
0.133358592,0.76527167,0.491473761,0.978072994,0,1,1,1
0.062057756,0.642845698,0.633093316,0.885139148,0,1,1,1
0.865731332,0.142496041,0.566672556,0.930215902,1,0,1,1
0.078020312,0.383963919,0.840880877,0.673804161,0,0,1,1
0.912863493,0.742389701,0.323250103,0.028160062,1,1,0,0
0.774597191,0.667521107,0.57272619,0.450710038,1,1,1,1
0.643188709,0.844193811,0.98713628,0.273105271,1,1,1,0
0.44561302,0.41397033,0.603434321,0.835652594,0,1,1,1
0.336320204,0.416760443,0.084560321,0.520110942,0,1,0,1
0.326208549,0.665836327,0.558989319,0.943882333,0,1,1,1
0.231642251,0.977311554,0.05493916,0.451829127,0,1,0,1
0.691149176,0.988303297,0.261603273,0.185266197,1,1,0,0
0.733594603,0.777621689,0.138729582,0.703264216,1,1,0,1
0.716324692,0.14313996,0.215316961,0.320921129,1,0,0,0
0.637418068,0.697405059,0.155540979,0.83294046,1,1,0,1
0.381871681,0.571672722,0.312710913,0.433270465,0,1,0,1
0.788507979,0.252720244,0.444001467,0.829001043,1,0,1,1
0.830547821,0.75376779,0.605200982,0.875511828,1,1,1,1
0.870464406,0.064385397,0.274618927,0.774645401,1,0,0,1
0.489502342,0.273245519,0.346942372,0.962970895,1,0,0,1
0.212047791,0.615355811,0.050883164,0.616632296,0,1,0,1
0.507550057,0.312615687,0.267261198,0.766818316,1,0,0,1
0.316612462,0.768106085,0.328699258,0.344286987,0,1,0,0
0.381565158,0.490546511,0.095786451,0.311305434,0,1,0,0
0.196532802,0.977932117,0.831511331,0.969471962,0,1,1,1
0.01052179,0.232740532,0.803821958,0.590298329,0,0,1,1
0.425253815,0.118793318,0.075518826,0.824925211,0,0,0,1
0.997172406,0.876615461,0.636852287,0.992626287,1,1,1,1
0.933067,0.136987125,0.188493541,0.799069057,1,0,0,1
0.291621822,0.090513166,0.99718811,0.379760646,0,0,1,0
0.250845703,0.53979804,0.535505629,0.337278457,0,1,1,0
0.052553043,0.032250263,0.388314465,0.442427503,0,0,1,1
0.043093082,0.414984244,0.400397738,0.294622984,0,1,1,0
0.946604187,0.184122936,0.758318962,0.744904083,1,0,1,1
0.093326469,0.517417114,0.468776274,0.869867406,0,1,1,1
0.523518475,0.329112963,0.250686221,0.735446982,1,0,0,1
0.569466705,0.793096141,0.017083874,0.847113809,1,1,0,1
0.330462742,0.610841212,0.222717182,0.06266853,0,1,0,0
0.154218399,0.538081849,0.686463242,0.302235202,0,1,1,0
0.282168232,0.259781111,0.554656059,0.276670226,0,0,1,0
0.628658909,0.084096648,0.152687617,0.828262413,1,0,0,1
0.295007602,0.521043925,0.189123262,0.763033927,0,1,0,1
0.921801897,0.913227081,0.72160328,0.921526246,1,1,1,1
0.588434006,0.441533131,0.209953919,0.717454208,1,1,0,1
0.05551366,0.460676479,0.991653469,0.218702274,0,1,1,0
0.659850902,0.473939341,0.042582593,0.8273911,1,1,0,1
0.55912891,0.81821778,0.523879574,0.265933899,1,1,1,0
0.990708668,0.617352791,0.372377381,0.614229594,1,1,1,1
0.59682048,0.196423031,0.040922416,0.701498314,1,0,0,1
0.588805917,0.536122573,0.447338136,0.241219718,1,1,1,0
0.950201751,0.339697997,0.091683318,0.094109824,1,0,0,0
0.679757521,0.613304543,0.279679939,0.224255594,1,1,0,0
0.039932035,0.240286395,0.584077211,0.103438459,0,0,1,0
0.347722245,0.450880513,0.975594452,0.011976617,0,1,1,0
0.146201014,0.454905331,0.272485385,0.724928666,0,1,0,1
0.320580237,0.159292795,0.037078832,0.202712842,0,0,0,0
0.706093335,0.364587714,0.756820914,0.895234587,1,0,1,1
0.060051345,0.652577142,0.114744695,0.584998641,0,1,0,1
0.288220815,0.609260215,0.521392317,0.701525803,0,1,1,1
0.64569779,0.746048587,0.931189748,0.581797444,1,1,1,1
0.944700581,0.708539869,0.56955715,0.35449364,1,1,1,0
0.651240325,0.91890631,0.201839162,0.840496598,1,1,0,1
0.374945446,0.108761597,0.851253825,0.36808416,0,0,1,0
0.310039376,0.517759996,0.529541383,0.102295535,0,1,1,0
